factor_id,paper_return_btc_corr,paper_return_btc_beta,long_short_btc_corr,long_short_btc_beta,ic_btc_return_corr,bull_minus_bear_paper_return,highvol_minus_lowvol_paper_return,drawdown_minus_normal_paper_return,regime_dependency_class,main_regime_note_zh,main_regime_note_en
q158_cntn_30h,0.08737310016530409,0.07138471764149076,-0.003790497984291492,-0.00015615749252317,0.049095444897867144,0.07149378772879812,-0.03240909565490553,0.0035983914299893838,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_cntp_20h,-0.21172571046423522,-0.2052431319502524,-0.0417264538485053,-0.0016496081299339413,-0.0056241217719398195,-0.11821739070142026,-0.02599848506126151,0.04750567334036199,BEAR_DEPENDENT,熊市依赖,Bear-dependent
q158_cntp_30h,-0.06707828822744959,-0.06911351039374643,-0.0306951598745255,-0.0013061267602145245,-0.02473179249710011,-0.08861457107612998,0.042956576769748095,0.02309793057377,BEAR_DEPENDENT,熊市依赖,Bear-dependent
q158_cord_20h,-0.023502211707255683,-0.020618516539129397,0.1039560219565395,0.003552336539798067,-0.134169738386362,0.010319581291062314,-0.00812678999547134,0.016474604562183547,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_corr_20h,0.2853428263784366,0.29922722732401896,0.15768888358486258,0.006239766617595965,0.02406251173316401,0.0493652116338096,-0.05178701632071563,-0.026445400002636864,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_high_close_0h,0.17227318586632098,0.2793720637185735,0.06492926090762269,0.0038010839821388583,0.057085181397508115,0.13441867364228888,-0.19074153112394165,0.10390711602285974,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_high_close_1h,0.12406478969289125,0.17161619898817088,0.07657760230151249,0.002392813945923676,0.06772052749805303,0.0795812435065881,-0.09627505861966718,-0.008507307549956877,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_high_close_2h,0.03870646299789091,0.05731639209471097,0.016223556113135182,0.0004400611525474174,0.08318018440011402,0.03344898377783831,-0.014585833288507294,-0.0055492136620586,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_high_close_3h,0.04123766894991633,0.061973281310978734,0.009636108402775321,0.00025923289501227797,0.06038734682373113,0.02601751810404379,-0.045698276651939235,-0.005554241166904755,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_high_close_4h,0.1333170608086885,0.1768951426863484,0.036406295564593016,0.0009884185418044457,0.06863992340193584,0.03383812764220734,-0.02572113791312336,-0.006830936253113151,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_high_low_range,0.12212898110131185,0.17709873720674724,0.07832842843901304,0.006164855641325138,0.08852995056487806,0.08461092667300615,-0.14102600077935537,0.10108449736849401,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_imax_20h,0.20206382235752993,0.17587594044533483,0.056929264896779505,0.0017856066887023295,0.10693901996220509,0.05296002590593957,0.05878805218499489,-0.029834239287134495,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_imax_30h,0.1879382765212815,0.14003859681618083,0.012005060156436854,0.00040257932903962576,0.1646850404232839,0.017544340517311574,0.04012548391945456,-0.02859675531920311,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_imin_20h,-0.04850902316641778,-0.04639226377782139,0.007980876920557755,0.00026185943398919314,-0.005688823829993141,-0.0009324978753350727,-0.07549743821329888,0.035346686280739156,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_imxd_20h,0.004346010377754099,0.003715675483831271,-0.007461269042598839,-0.0002676264293186984,0.03132153678755571,0.005948121599021194,0.06979929565909976,0.011225391716426475,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_klen_open,0.11966364036593578,0.1712448466986351,0.08005913143491215,0.0063104640948166224,0.0892896155210156,0.0820297713180137,-0.13929658638476797,0.10460114950315058,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_klow_open,0.09339073827167386,0.06674322980404418,0.07054903802872377,0.0035817454137243437,0.12762300325018203,0.018918072273377606,0.01295946516935198,0.05791372522970262,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_klow_range,0.17166573097006946,0.13979619862264742,-0.11214013596064638,-0.0013445651408644384,0.06730045236427007,0.009922023039145078,0.08041887456454039,-0.009704395874542082,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_kmid_open,-0.14865738812309706,-0.14582028560903842,-0.007326958845421411,-0.0001137505624538318,-0.01576854048174276,-0.05792775556623919,0.043434057794876024,0.10161633274170001,BEAR_DEPENDENT,熊市依赖,Bear-dependent
q158_kmid_range,-0.24012909752721584,-0.1895434954185865,-0.011220611019357686,-0.00014754946092658539,-0.001700994598685741,-0.08794370608546098,0.06956127149248298,0.04379320383426605,BEAR_DEPENDENT,熊市依赖,Bear-dependent
q158_ksft_open,-0.06985893094466929,-0.05223639573656292,0.09740349263154073,0.0012698297854681617,0.019372641458706135,-0.05515940132515795,0.09310893985184532,0.034924207964076526,BEAR_DEPENDENT,熊市依赖,Bear-dependent
q158_ksft_range,-0.1465450046514062,-0.12035451826375586,-0.05355386083785284,-0.0005433507757835163,0.03227551122267917,-0.07819901242104133,0.10393193716452731,0.036327531618804976,BEAR_DEPENDENT,熊市依赖,Bear-dependent
q158_kup_open,0.12676157990776846,0.18645906634951775,-0.041033248077851275,-0.002261549993760829,0.041567765900782004,0.0756985926574982,-0.1645171083996301,0.11645879298349193,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_kup_range,0.014048522055080566,0.012461657875137573,0.12626858878097433,0.0021638376839554635,-0.13343947457990576,0.003756661914322612,-0.07728790001622637,0.04947236183523607,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_low_close_0h,-0.2746840950328571,-0.28332933487756246,-0.0934897598554378,-0.0053114561789549515,-0.16378708835464556,-0.028745773221806603,0.015215594139244115,-0.037154391508798235,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_low_close_1h,-0.07178198114093776,-0.09466014022763564,-0.06820301433365847,-0.002690160500691673,-0.06768420623212791,0.02660903205206755,0.030874540561158847,-0.024051393694624223,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_low_close_2h,-0.021887276935281856,-0.03403246714346717,-0.06861391170717616,-0.002450682663568228,-0.019299995413601806,0.0023178605587649836,0.05086380853784028,-0.048119796116226854,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_low_close_3h,-0.0119081220101584,-0.01756033218325836,-0.052641996436385244,-0.0019053089684644411,-0.02612230775635301,-0.01907092547818809,0.05499166719132856,-0.005434521588408653,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_low_close_4h,-0.03402594156811673,-0.042049988499505676,-0.05525319811111108,-0.0020675338771155675,0.002508639043455814,-0.022968621782377824,0.028569583289804218,-0.01280785160156378,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_ma_10h,0.04383751707376166,0.05575259166940942,-0.014922444856755411,-0.00048324934809356807,0.058294225783104815,-0.0010149484720870239,0.014339060611270521,-0.012584141466497056,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_ma_20h,0.09431448650231719,0.09040942644488353,-0.06409291471933347,-0.0026932873073641913,0.10720663694301279,0.00942544812738716,0.046143231576995875,-0.021319270358357956,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_ma_30h,-0.004401942249274982,-0.003901167683470436,-0.06647079124977157,-0.003209334577778636,0.14299424989932033,-0.013249833651882481,0.07530143410624995,-0.034732900678943746,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_ma_5h,0.01615212608292248,0.024789946741861437,-0.011461756193287171,-0.0002892800357478247,0.051894040488322066,0.010314631583136558,-0.0011629256696158163,-0.04105747888046468,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_ma_60h,0.03979532869254521,0.03857285669573047,-0.1212483144304006,-0.00754469920079705,0.0966182387031956,0.012051611736468681,0.05809335668907903,-0.048885082726160295,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_max_10h,0.2225110497468762,0.332280641273837,0.12563155599600212,0.007028758418373658,0.10106640576994684,0.15804930489178265,-0.18408959715188236,0.005917195715133092,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_max_20h,0.2661903736790408,0.32929865269635106,0.14076276369499235,0.007815587043230373,0.1555639767262761,0.14607948763374826,-0.14320762567764656,-0.013350610149901299,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_max_30h,0.35433964214989183,0.42777221006527727,0.11081493595257115,0.006246423294944342,0.17751476537098015,0.17712311279829274,-0.12659544674111808,-0.025507454351918868,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_max_5h,0.26748779643648074,0.4016361835098603,0.09285347965217076,0.005204237033571208,0.08042398304719679,0.16179088942522063,-0.19035279893092466,0.03236260182893255,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_max_60h,0.2967809711812239,0.4239734068598708,0.044263249434726155,0.0025483689670035975,0.13164397882437343,0.17045495823119305,-0.09430180192847844,-0.09196549748194907,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
q158_min_10h,-0.21730804684792063,-0.25449652680427076,-0.06546565882652353,-0.004169422920543543,-0.07099643129495417,-0.05538289775706354,0.09103938622638927,-0.06603624348783876,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
q158_min_20h,-0.13155278170403423,-0.16337349114186572,-0.06045753569529597,-0.00400986354789416,-0.04317573252810128,-0.04766783582864012,0.09788883098468615,-0.08963279342639596,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
q158_min_30h,-0.09440012787593612,-0.0968202767127231,-0.034627857590444434,-0.0023181232512519785,-0.020295097619389052,-0.04314833432555343,0.055125706999940766,-0.06581674250966965,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
q158_min_5h,-0.20980305061328958,-0.27127873974244726,-0.07095015830078068,-0.004301570922273948,-0.11382598502596723,-0.0550226961596334,0.09586563365357825,-0.05318707404566747,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
q158_min_60h,-0.18081370567940896,-0.16222737123867073,-0.04821499483348395,-0.0031639975771918585,-0.04592874236507088,-0.04093819743981211,0.0298566311364806,-0.053105333535916566,DRAWDOWN_FRAGILE,回撤脆弱,Fragile during drawdowns
q158_open_close_0h,-0.03130644267692003,-0.03513575068534127,-0.010448635392629151,-0.00016098016916221472,0.0157674126549579,0.014845506300832312,-0.003950814720386664,-0.0232266456202318,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_open_close_1h,-0.00782976458368009,-0.011140214222087701,-0.03125864098197283,-0.0006540892220934335,0.06854516154766147,0.025566765897755972,-0.008069296712947316,-0.006710200452343051,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_open_close_2h,0.03747586913680675,0.05687556794472177,-0.016381544681746806,-0.0003934169783760399,0.05277102814085559,0.005589103806203144,0.0020563733786494176,-0.03362480544695029,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_open_close_3h,0.09320685773255209,0.12356478708958597,-0.009913662250297548,-0.0002647046216887593,0.05376160515398941,0.011351175264789182,0.0002414590081646073,-0.02478907020313567,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_open_close_4h,0.09672892927321486,0.11844454032784675,-0.0035757600835189555,-0.00010259732969708958,0.05576787567065537,0.031806678260299065,0.011525662760485611,-0.02465214844836322,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_qtld_20h,0.028157050976317075,0.028912962202252337,-0.10595377247414323,-0.005119944311215562,0.02970595874603075,-0.004104723149796458,0.06381008724233267,-0.034335277618077864,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_qtld_30h,-0.0030128000347324282,-0.0027446950682902724,-0.08188750414958057,-0.00427909255420977,0.03001861344149633,-0.00858344129152247,0.04751835843295671,-0.020435092845458858,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_qtlu_20h,0.1190754999112269,0.13246431578196935,0.052998556763093035,0.0020614715745664062,0.15913050918128258,0.02264083593111632,0.03871819490690931,-0.018864081727515802,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_qtlu_30h,0.11721703076188673,0.11917966237197493,0.022331700896634325,0.0009828422826258212,0.1896768843873536,0.02388730342737061,0.05611434602353986,0.009391264478293498,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_rank_close_20h,-0.3005161924276296,-0.29087905933053737,-0.01219900624531483,-0.0004381794388797584,-0.07283285797437687,-0.07335844798084828,-0.023145178427261492,0.09651434618714114,BEAR_DEPENDENT,熊市依赖,Bear-dependent
q158_rank_close_30h,-0.3166917657646361,-0.32250340353987744,-0.025383835573609723,-0.001077135727668205,-0.08340401090628478,-0.0893062847920463,-0.020546327807017928,0.09623753834841078,BEAR_DEPENDENT,熊市依赖,Bear-dependent
q158_resi_20h,-0.3060231769924856,-0.39827538650648725,-0.1564766546348883,-0.002412550930364006,0.020294236407031676,-0.08222197849918944,0.02373239376886127,0.01045870411125932,BEAR_DEPENDENT,熊市依赖,Bear-dependent
q158_resi_30h,-0.14251226689756274,-0.16315802004247312,-0.09242775877903264,-0.002136406069080741,0.06792855718282409,-0.024345327152270807,-0.008409674870464373,0.03625301939200601,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_roc_20h,-0.1592989327858735,-0.15216203593963928,-0.051823273925866144,-0.002507531573864249,0.14282441435878157,-0.04054651712914023,0.0887357862722577,-0.015431184485389632,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_rsqr_20h,0.24464631897729502,0.26064552393492796,0.15414914220404735,0.004348831571010916,0.22459043609327875,0.041471239950042975,-0.14229627117609228,-0.040088208720094484,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_rsqr_30h,0.37116183731600727,0.3599272800237228,0.17827544391617858,0.004981126452575603,0.30010950793258473,0.08157672320674755,-0.04602582396806202,-0.01362995853183347,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_rsv_20h,-0.2075506425151754,-0.20950416879571898,-0.03864761973205823,-0.0015276145167182607,-0.09577826207093364,-0.08957234946857354,0.024657938731684786,0.1250959318870759,BEAR_DEPENDENT,熊市依赖,Bear-dependent
q158_rsv_30h,-0.12864373419197345,-0.135358589063557,-0.02320583905014574,-0.0010296412329044943,-0.13301512835105272,-0.07920436088342966,0.035512206253979425,0.10203857190416263,BEAR_DEPENDENT,熊市依赖,Bear-dependent
q158_std_10h,0.023135293893918375,0.03651494905170599,-0.14347590516409067,-0.010321536165600526,0.10552662583094351,0.03570295268581288,-0.16702927221934744,0.0865341603855998,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_std_20h,0.14569341133732985,0.24911584947262602,-0.14924178170465216,-0.010994398445746326,0.1404325380186916,0.10636006119452968,-0.21339257051582372,0.0775871908653554,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_std_30h,0.22740989763886132,0.37085503277469645,-0.12938544490124013,-0.00943579642140567,0.18086039761254252,0.13901720885137225,-0.16832006921817175,0.07068671444412748,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_std_5h,-0.034037430693972956,-0.04419606824680926,-0.12908754811207143,-0.00860590024122898,0.11817688420156466,0.01025052885703942,-0.1229526741191698,0.07698682860165645,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_std_60h,0.23557310134973689,0.3473516070288608,-0.08688141751312005,-0.005836867769971183,0.20000008050712995,0.12544140901495443,-0.13795250505298498,0.006861288419027202,BULL_DEPENDENT,牛市依赖,Bull-dependent
q158_sumd_20h,-0.09197874129014315,-0.1138272944445801,0.015885921006784556,0.0007525899765546704,-0.088589371431025,-0.04587329442514816,-0.06776899514615409,0.02617191857928383,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_sumd_30h,-0.19703720054828835,-0.2170410813373932,0.0242249949705918,0.001266911839157852,-0.09048184901295742,-0.06279404143645514,0.021632073634196683,0.021974164038154578,BEAR_DEPENDENT,熊市依赖,Bear-dependent
q158_sumn_20h,0.01308067810545355,0.013147956539139166,0.007854375871088465,0.00036852528132858654,0.10218837839196204,0.02007909109811093,0.06145813011984194,-0.020212897139649577,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_sump_20h,-0.09189507212618352,-0.1142622049505342,0.0102688075044453,0.000498097608817785,-0.08234109338477755,-0.04684148377538433,-0.0661616477314386,0.02997996234753271,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_vma_20h,-0.2848097785100647,-0.22480156717341462,-0.25043310450331846,-0.004484606505243937,-0.1426730863500485,-0.04416535328986371,0.0529997200523728,0.01978169814136088,VOL_DEPENDENT,波动率依赖,Volatility-dependent
q158_volume_ratio_1h,-0.04671663210352061,-0.030099257106169154,-0.0889456561361876,-0.0007625003684574804,0.025431501639636252,-0.009761483494128254,0.014190382174969318,0.010960090166479974,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_volume_ratio_2h,-0.12881599585228132,-0.08620842166086608,-0.10374312569526505,-0.000993008780658641,-0.013472865417421638,-0.021246157054390424,0.03322045562309234,-0.0052160946622173965,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_volume_ratio_3h,-0.00823845224125885,-0.0051433498300242015,-0.039811621913674454,-0.0004242910986756359,0.009401669705797722,-0.012195336863166317,0.04742735059075387,-0.01814076369151607,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_volume_ratio_4h,-0.09192812906229313,-0.06000731193091757,-0.0826174606361832,-0.0009111001748165225,-0.007257932462559586,-0.026579391994338786,0.033341149095214184,0.017991405150007633,REGIME_ROBUST,跨市场稳健,Regime-robust
q158_vstd_20h,-0.09110722093387488,-0.07214299005477631,-0.2872606559905973,-0.006083771324211198,-0.1695151729870862,-0.00721222054592302,0.03411593045046535,0.004014163381754088,REGIME_ROBUST,跨市场稳健,Regime-robust
