factor_id,cluster_id,cluster_size,family,quality_score,scorecard_class,redundancy_score_to_representative,nearest_redundant_factor,novelty_score,member_role,interpretation_notes_zh,interpretation_notes_en,paper_net_return_10bps,cost_sensitivity_class,regime_dependency_class,capacity_liquidity_class,quantile_shape_class,stability_class,decile_shape_class
reversal_5h,1,53,momentum,71.86,STRONG_RESEARCH_CANDIDATE,0.5,mom_5h,0.0,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.143489,INSUFFICIENT_DATA,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
rsi_14h,1,53,technical,65.33,PROMISING_BUT_INCONSISTENT,0.865905,rsi_7h,0.071564,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.87，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.87 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.929852,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,WEAK_MONOTONIC,UNSTABLE_SIGN_FLIP,BOTH_TAILS_U_SHAPED
bb_zscore_20h,1,53,technical,66.64,PROMISING_BUT_INCONSISTENT,0.5,q158_rank_close_20h,0.020807,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.654898,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,WEAK_MONOTONIC,UNSTABLE_SIGN_FLIP,NONLINEAR_MIXED
q158_rsv_20h,1,53,,57.8,REVIEW_REQUIRED,0.5,breakout_dist_20h,1.8e-05,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.375541,COST_COLLAPSED,BEAR_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_WEAK,NONLINEAR_MIXED
q158_open_close_1h,1,53,,68.42,REVIEW_REQUIRED,0.5,rev_2h,0.002753,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.697734,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_open_close_2h,1,53,,66.0,REVIEW_REQUIRED,0.5,rev_3h,0.001838,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.233366,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_high_close_2h,1,53,,63.46,REVIEW_REQUIRED,0.5,q158_ma_5h,0.124472,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.483026,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_low_close_2h,1,53,,60.71,REVIEW_REQUIRED,0.5,q158_ma_5h,0.126887,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.220796,COST_COLLAPSED,VOL_DEPENDENT,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_open_close_3h,1,53,,65.27,REVIEW_REQUIRED,0.5,q158_close_close_4h,0.001449,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.047216,INSUFFICIENT_DATA,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_high_close_3h,1,53,,62.21,REVIEW_REQUIRED,0.5,q158_ma_5h,0.105443,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.157943,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_low_close_3h,1,53,,63.64,REVIEW_REQUIRED,0.5,q158_open_close_2h,0.10311,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.246287,COST_COLLAPSED,VOL_DEPENDENT,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_open_close_4h,1,53,,61.77,REVIEW_REQUIRED,0.5,reversal_5h,0.001093,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.125005,INSUFFICIENT_DATA,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_high_close_4h,1,53,,62.44,REVIEW_REQUIRED,0.5,q158_open_close_3h,0.085593,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.073234,INSUFFICIENT_DATA,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_low_close_4h,1,53,,59.75,REVIEW_REQUIRED,0.5,q158_open_close_3h,0.083896,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.377775,INSUFFICIENT_DATA,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_close_close_4h,1,53,,65.11,REVIEW_REQUIRED,0.5,q158_open_close_3h,0.001449,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.084972,INSUFFICIENT_DATA,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_qtlu_20h,1,53,,52.61,REVIEW_REQUIRED,0.5,q158_ma_20h,0.05373,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.606302,INSUFFICIENT_DATA,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_qtld_20h,1,53,,57.3,REVIEW_REQUIRED,0.5,q158_ma_20h,0.062461,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.615065,INSUFFICIENT_DATA,VOL_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_POSITIVE,BOTH_TAILS_U_SHAPED
q158_rank_close_20h,1,53,,62.07,REVIEW_REQUIRED,0.5,bb_zscore_20h,0.020807,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.53355,COST_COLLAPSED,BEAR_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_WEAK,BOTH_TAILS_U_SHAPED
q158_cntp_20h,1,53,,56.04,REVIEW_REQUIRED,0.5,q158_cntd_20h,0.041504,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.731657,COST_COLLAPSED,BEAR_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_WEAK,BOTH_TAILS_U_SHAPED
q158_cntn_20h,1,53,,48.73,REVIEW_REQUIRED,0.5,q158_cntd_20h,0.038486,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.557311,INSUFFICIENT_DATA,BULL_DEPENDENT,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,BOTH_TAILS_U_SHAPED
q158_sumd_20h,1,53,,63.75,REVIEW_REQUIRED,0.969749,q158_sump_20h,0.0,REDUNDANT_HIGH_QUALITY_ALTERNATIVE,与代表因子 mom_20h 相关性 0.97，信息冗余度高，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.97 with representative mom_20h — high overlap; requires marginal-information review before combination,1.044718,COST_COLLAPSED,VOL_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_WEAK,DECILE_MONOTONIC_WEAK
q158_beta_20h,1,53,,57.61,REVIEW_REQUIRED,0.895409,ma_gap_5_20,0.067445,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.90，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.90 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.561063,COST_FRAGILE,VOL_DEPENDENT,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_WEAK,BOTH_TAILS_U_SHAPED
q158_imax_20h,1,53,,52.1,REVIEW_REQUIRED,0.5,q158_imxd_20h,0.154635,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.663592,INSUFFICIENT_DATA,BULL_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_POSITIVE,BOTH_TAILS_U_SHAPED
q158_imin_20h,1,53,,58.35,REVIEW_REQUIRED,0.5,q158_imxd_20h,0.150656,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.51327,COST_COLLAPSED,VOL_DEPENDENT,WATCH_LIQUIDITY,MIXED_SHAPE,STABLE_WEAK,NONLINEAR_MIXED
q158_imxd_20h,1,53,,52.69,REVIEW_REQUIRED,0.80477,q158_imin_20h,0.150656,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.80，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.80 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.934451,INSUFFICIENT_DATA,VOL_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_POSITIVE,BOTH_TAILS_U_SHAPED
q158_roc_20h,1,53,,57.52,REVIEW_REQUIRED,1.0,mom_20h,0.0,REDUNDANT_HIGH_QUALITY_ALTERNATIVE,与代表因子 mom_20h 相关性 1.00，信息冗余度高，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 1.00 with representative mom_20h — high overlap; requires marginal-information review before combination,-1.230846,INSUFFICIENT_DATA,VOL_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_POSITIVE,DECILE_MONOTONIC_WEAK
q158_ma_5h,1,53,,66.33,REVIEW_REQUIRED,0.5,rev_3h,0.073075,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.286102,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,DECILE_MONOTONIC_WEAK
q158_max_5h,1,53,,66.91,REVIEW_REQUIRED,0.5,q158_max_10h,0.164802,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.35878,COST_COLLAPSED,BULL_DEPENDENT,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_WEAK,NONLINEAR_MIXED
q158_min_5h,1,53,,63.3,REVIEW_REQUIRED,0.5,q158_min_10h,0.160762,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.577183,INSUFFICIENT_DATA,DRAWDOWN_FRAGILE,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_POSITIVE,NONLINEAR_MIXED
q158_ma_10h,1,53,,57.4,REVIEW_REQUIRED,0.5,rsi_7h,0.085568,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.4055,INSUFFICIENT_DATA,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_max_10h,1,53,,63.12,REVIEW_REQUIRED,0.5,q158_max_5h,0.164802,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.277492,COST_COLLAPSED,BULL_DEPENDENT,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_WEAK,NONLINEAR_MIXED
q158_min_10h,1,53,,63.19,REVIEW_REQUIRED,0.5,q158_min_5h,0.160762,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.676638,INSUFFICIENT_DATA,DRAWDOWN_FRAGILE,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_POSITIVE,NONLINEAR_MIXED
q158_ma_20h,1,53,,55.31,REVIEW_REQUIRED,0.83743,vwap_dev_20h,0.02467,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.84，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.84 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.800817,INSUFFICIENT_DATA,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
q158_max_20h,1,53,,61.55,REVIEW_REQUIRED,0.5,q158_qtlu_20h,0.154526,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.086129,INSUFFICIENT_DATA,BULL_DEPENDENT,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_WEAK,NONLINEAR_MIXED
q158_min_20h,1,53,,62.56,REVIEW_REQUIRED,0.5,q158_min_10h,0.162174,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.785708,INSUFFICIENT_DATA,DRAWDOWN_FRAGILE,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_POSITIVE,DECILE_MONOTONIC_WEAK
q158_cntd_20h,1,53,,53.11,REVIEW_REQUIRED,0.5,q158_cntn_20h,0.038486,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.6676,COST_COLLAPSED,BEAR_DEPENDENT,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_WEAK,NONLINEAR_MIXED
q158_sump_20h,1,53,,63.68,REVIEW_REQUIRED,0.969748,q158_sumd_20h,0.0,REDUNDANT_HIGH_QUALITY_ALTERNATIVE,与代表因子 mom_20h 相关性 0.97，信息冗余度高，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.97 with representative mom_20h — high overlap; requires marginal-information review before combination,1.013532,COST_COLLAPSED,VOL_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_WEAK,DECILE_MONOTONIC_WEAK
q158_sumn_20h,1,53,,63.39,REVIEW_REQUIRED,0.969748,q158_sump_20h,0.0,REDUNDANT_HIGH_QUALITY_ALTERNATIVE,与代表因子 mom_20h 相关性 0.97，信息冗余度高，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.97 with representative mom_20h — high overlap; requires marginal-information review before combination,1.03806,INSUFFICIENT_DATA,VOL_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_POSITIVE,DECILE_MONOTONIC_WEAK
vwap_dev_20h,1,53,alpha158_ohlcv,63.1,PROMISING_BUT_INCONSISTENT,0.5,q158_ma_20h,0.02467,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.868576,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_WEAK,BOTH_TAILS_U_SHAPED
mom_5h,1,53,momentum,64.31,PROMISING_BUT_INCONSISTENT,0.5,reversal_5h,0.0,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.073146,INSUFFICIENT_DATA,BEAR_DEPENDENT,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_WEAK,NONLINEAR_MIXED
mom_10h,1,53,momentum,66.67,PROMISING_BUT_INCONSISTENT,0.5,rev_10h,0.0,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.701676,COST_COLLAPSED,VOL_DEPENDENT,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_WEAK,NONLINEAR_MIXED
rev_3h,1,53,reversal,73.08,STRONG_RESEARCH_CANDIDATE,0.5,q158_open_close_2h,0.001838,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.25001,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
rev_10h,1,53,reversal,63.07,PROMISING_BUT_INCONSISTENT,0.5,mom_10h,0.0,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,-0.684506,INSUFFICIENT_DATA,VOL_DEPENDENT,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_POSITIVE,NONLINEAR_MIXED
price_pos_72h,1,53,price_position,59.23,PROMISING_BUT_INCONSISTENT,0.5,ema_12_26_gap,0.169292,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 mom_20h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative mom_20h — moderate overlap; requires marginal-information review before combination,0.723423,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,NO_CLEAR_SHAPE,STABLE_WEAK,BOTH_TAILS_U_SHAPED
