,factor_id,cluster_id,cluster_size,cluster_members
25,q158_imin_20h,6,47,bb_zscore_20h;breakout_dist_20h;ema_12_26_gap;ma_gap_5_20;mom_10h;mom_20h;mom_5h;mom_vol_adjusted_20h;price_pos_72h;q158_beta_20h;q158_close_close_4h;q158_cntd_20h;q158_cntn_20h;q158_cntp_20h;q158_high_close_2h;q158_high_close_3h;q158_high_close_4h;q158_imax_20h;q158_imin_20h;q158_imxd_20h;q158_low_close_2h;q158_low_close_3h;q158_low_close_4h;q158_ma_20h;q158_max_20h;q158_min_20h;q158_open_close_1h;q158_open_close_2h;q158_open_close_3h;q158_open_close_4h;q158_qtld_20h;q158_qtlu_20h;q158_rank_close_20h;q158_roc_20h;q158_rsv_20h;q158_sumd_20h;q158_sumn_20h;q158_sump_20h;rev_10h;rev_2h;rev_3h;reversal_5h;rsi_14h;rsi_7h;up_down_vol_ratio_20h;vwap_dev_20h;williams_r_14h
26,q158_imxd_20h,6,47,bb_zscore_20h;breakout_dist_20h;ema_12_26_gap;ma_gap_5_20;mom_10h;mom_20h;mom_5h;mom_vol_adjusted_20h;price_pos_72h;q158_beta_20h;q158_close_close_4h;q158_cntd_20h;q158_cntn_20h;q158_cntp_20h;q158_high_close_2h;q158_high_close_3h;q158_high_close_4h;q158_imax_20h;q158_imin_20h;q158_imxd_20h;q158_low_close_2h;q158_low_close_3h;q158_low_close_4h;q158_ma_20h;q158_max_20h;q158_min_20h;q158_open_close_1h;q158_open_close_2h;q158_open_close_3h;q158_open_close_4h;q158_qtld_20h;q158_qtlu_20h;q158_rank_close_20h;q158_roc_20h;q158_rsv_20h;q158_sumd_20h;q158_sumn_20h;q158_sump_20h;rev_10h;rev_2h;rev_3h;reversal_5h;rsi_14h;rsi_7h;up_down_vol_ratio_20h;vwap_dev_20h;williams_r_14h
27,q158_low_close_2h,6,47,bb_zscore_20h;breakout_dist_20h;ema_12_26_gap;ma_gap_5_20;mom_10h;mom_20h;mom_5h;mom_vol_adjusted_20h;price_pos_72h;q158_beta_20h;q158_close_close_4h;q158_cntd_20h;q158_cntn_20h;q158_cntp_20h;q158_high_close_2h;q158_high_close_3h;q158_high_close_4h;q158_imax_20h;q158_imin_20h;q158_imxd_20h;q158_low_close_2h;q158_low_close_3h;q158_low_close_4h;q158_ma_20h;q158_max_20h;q158_min_20h;q158_open_close_1h;q158_open_close_2h;q158_open_close_3h;q158_open_close_4h;q158_qtld_20h;q158_qtlu_20h;q158_rank_close_20h;q158_roc_20h;q158_rsv_20h;q158_sumd_20h;q158_sumn_20h;q158_sump_20h;rev_10h;rev_2h;rev_3h;reversal_5h;rsi_14h;rsi_7h;up_down_vol_ratio_20h;vwap_dev_20h;williams_r_14h
28,q158_low_close_3h,6,47,bb_zscore_20h;breakout_dist_20h;ema_12_26_gap;ma_gap_5_20;mom_10h;mom_20h;mom_5h;mom_vol_adjusted_20h;price_pos_72h;q158_beta_20h;q158_close_close_4h;q158_cntd_20h;q158_cntn_20h;q158_cntp_20h;q158_high_close_2h;q158_high_close_3h;q158_high_close_4h;q158_imax_20h;q158_imin_20h;q158_imxd_20h;q158_low_close_2h;q158_low_close_3h;q158_low_close_4h;q158_ma_20h;q158_max_20h;q158_min_20h;q158_open_close_1h;q158_open_close_2h;q158_open_close_3h;q158_open_close_4h;q158_qtld_20h;q158_qtlu_20h;q158_rank_close_20h;q158_roc_20h;q158_rsv_20h;q158_sumd_20h;q158_sumn_20h;q158_sump_20h;rev_10h;rev_2h;rev_3h;reversal_5h;rsi_14h;rsi_7h;up_down_vol_ratio_20h;vwap_dev_20h;williams_r_14h
29,q158_low_close_4h,6,47,bb_zscore_20h;breakout_dist_20h;ema_12_26_gap;ma_gap_5_20;mom_10h;mom_20h;mom_5h;mom_vol_adjusted_20h;price_pos_72h;q158_beta_20h;q158_close_close_4h;q158_cntd_20h;q158_cntn_20h;q158_cntp_20h;q158_high_close_2h;q158_high_close_3h;q158_high_close_4h;q158_imax_20h;q158_imin_20h;q158_imxd_20h;q158_low_close_2h;q158_low_close_3h;q158_low_close_4h;q158_ma_20h;q158_max_20h;q158_min_20h;q158_open_close_1h;q158_open_close_2h;q158_open_close_3h;q158_open_close_4h;q158_qtld_20h;q158_qtlu_20h;q158_rank_close_20h;q158_roc_20h;q158_rsv_20h;q158_sumd_20h;q158_sumn_20h;q158_sump_20h;rev_10h;rev_2h;rev_3h;reversal_5h;rsi_14h;rsi_7h;up_down_vol_ratio_20h;vwap_dev_20h;williams_r_14h
30,q158_ma_20h,6,47,bb_zscore_20h;breakout_dist_20h;ema_12_26_gap;ma_gap_5_20;mom_10h;mom_20h;mom_5h;mom_vol_adjusted_20h;price_pos_72h;q158_beta_20h;q158_close_close_4h;q158_cntd_20h;q158_cntn_20h;q158_cntp_20h;q158_high_close_2h;q158_high_close_3h;q158_high_close_4h;q158_imax_20h;q158_imin_20h;q158_imxd_20h;q158_low_close_2h;q158_low_close_3h;q158_low_close_4h;q158_ma_20h;q158_max_20h;q158_min_20h;q158_open_close_1h;q158_open_close_2h;q158_open_close_3h;q158_open_close_4h;q158_qtld_20h;q158_qtlu_20h;q158_rank_close_20h;q158_roc_20h;q158_rsv_20h;q158_sumd_20h;q158_sumn_20h;q158_sump_20h;rev_10h;rev_2h;rev_3h;reversal_5h;rsi_14h;rsi_7h;up_down_vol_ratio_20h;vwap_dev_20h;williams_r_14h
31,q158_max_20h,6,47,bb_zscore_20h;breakout_dist_20h;ema_12_26_gap;ma_gap_5_20;mom_10h;mom_20h;mom_5h;mom_vol_adjusted_20h;price_pos_72h;q158_beta_20h;q158_close_close_4h;q158_cntd_20h;q158_cntn_20h;q158_cntp_20h;q158_high_close_2h;q158_high_close_3h;q158_high_close_4h;q158_imax_20h;q158_imin_20h;q158_imxd_20h;q158_low_close_2h;q158_low_close_3h;q158_low_close_4h;q158_ma_20h;q158_max_20h;q158_min_20h;q158_open_close_1h;q158_open_close_2h;q158_open_close_3h;q158_open_close_4h;q158_qtld_20h;q158_qtlu_20h;q158_rank_close_20h;q158_roc_20h;q158_rsv_20h;q158_sumd_20h;q158_sumn_20h;q158_sump_20h;rev_10h;rev_2h;rev_3h;reversal_5h;rsi_14h;rsi_7h;up_down_vol_ratio_20h;vwap_dev_20h;williams_r_14h
32,q158_min_20h,6,47,bb_zscore_20h;breakout_dist_20h;ema_12_26_gap;ma_gap_5_20;mom_10h;mom_20h;mom_5h;mom_vol_adjusted_20h;price_pos_72h;q158_beta_20h;q158_close_close_4h;q158_cntd_20h;q158_cntn_20h;q158_cntp_20h;q158_high_close_2h;q158_high_close_3h;q158_high_close_4h;q158_imax_20h;q158_imin_20h;q158_imxd_20h;q158_low_close_2h;q158_low_close_3h;q158_low_close_4h;q158_ma_20h;q158_max_20h;q158_min_20h;q158_open_close_1h;q158_open_close_2h;q158_open_close_3h;q158_open_close_4h;q158_qtld_20h;q158_qtlu_20h;q158_rank_close_20h;q158_roc_20h;q158_rsv_20h;q158_sumd_20h;q158_sumn_20h;q158_sump_20h;rev_10h;rev_2h;rev_3h;reversal_5h;rsi_14h;rsi_7h;up_down_vol_ratio_20h;vwap_dev_20h;williams_r_14h
33,q158_open_close_1h,6,47,bb_zscore_20h;breakout_dist_20h;ema_12_26_gap;ma_gap_5_20;mom_10h;mom_20h;mom_5h;mom_vol_adjusted_20h;price_pos_72h;q158_beta_20h;q158_close_close_4h;q158_cntd_20h;q158_cntn_20h;q158_cntp_20h;q158_high_close_2h;q158_high_close_3h;q158_high_close_4h;q158_imax_20h;q158_imin_20h;q158_imxd_20h;q158_low_close_2h;q158_low_close_3h;q158_low_close_4h;q158_ma_20h;q158_max_20h;q158_min_20h;q158_open_close_1h;q158_open_close_2h;q158_open_close_3h;q158_open_close_4h;q158_qtld_20h;q158_qtlu_20h;q158_rank_close_20h;q158_roc_20h;q158_rsv_20h;q158_sumd_20h;q158_sumn_20h;q158_sump_20h;rev_10h;rev_2h;rev_3h;reversal_5h;rsi_14h;rsi_7h;up_down_vol_ratio_20h;vwap_dev_20h;williams_r_14h
34,q158_open_close_2h,6,47,bb_zscore_20h;breakout_dist_20h;ema_12_26_gap;ma_gap_5_20;mom_10h;mom_20h;mom_5h;mom_vol_adjusted_20h;price_pos_72h;q158_beta_20h;q158_close_close_4h;q158_cntd_20h;q158_cntn_20h;q158_cntp_20h;q158_high_close_2h;q158_high_close_3h;q158_high_close_4h;q158_imax_20h;q158_imin_20h;q158_imxd_20h;q158_low_close_2h;q158_low_close_3h;q158_low_close_4h;q158_ma_20h;q158_max_20h;q158_min_20h;q158_open_close_1h;q158_open_close_2h;q158_open_close_3h;q158_open_close_4h;q158_qtld_20h;q158_qtlu_20h;q158_rank_close_20h;q158_roc_20h;q158_rsv_20h;q158_sumd_20h;q158_sumn_20h;q158_sump_20h;rev_10h;rev_2h;rev_3h;reversal_5h;rsi_14h;rsi_7h;up_down_vol_ratio_20h;vwap_dev_20h;williams_r_14h
35,q158_open_close_3h,6,47,bb_zscore_20h;breakout_dist_20h;ema_12_26_gap;ma_gap_5_20;mom_10h;mom_20h;mom_5h;mom_vol_adjusted_20h;price_pos_72h;q158_beta_20h;q158_close_close_4h;q158_cntd_20h;q158_cntn_20h;q158_cntp_20h;q158_high_close_2h;q158_high_close_3h;q158_high_close_4h;q158_imax_20h;q158_imin_20h;q158_imxd_20h;q158_low_close_2h;q158_low_close_3h;q158_low_close_4h;q158_ma_20h;q158_max_20h;q158_min_20h;q158_open_close_1h;q158_open_close_2h;q158_open_close_3h;q158_open_close_4h;q158_qtld_20h;q158_qtlu_20h;q158_rank_close_20h;q158_roc_20h;q158_rsv_20h;q158_sumd_20h;q158_sumn_20h;q158_sump_20h;rev_10h;rev_2h;rev_3h;reversal_5h;rsi_14h;rsi_7h;up_down_vol_ratio_20h;vwap_dev_20h;williams_r_14h
36,q158_open_close_4h,6,47,bb_zscore_20h;breakout_dist_20h;ema_12_26_gap;ma_gap_5_20;mom_10h;mom_20h;mom_5h;mom_vol_adjusted_20h;price_pos_72h;q158_beta_20h;q158_close_close_4h;q158_cntd_20h;q158_cntn_20h;q158_cntp_20h;q158_high_close_2h;q158_high_close_3h;q158_high_close_4h;q158_imax_20h;q158_imin_20h;q158_imxd_20h;q158_low_close_2h;q158_low_close_3h;q158_low_close_4h;q158_ma_20h;q158_max_20h;q158_min_20h;q158_open_close_1h;q158_open_close_2h;q158_open_close_3h;q158_open_close_4h;q158_qtld_20h;q158_qtlu_20h;q158_rank_close_20h;q158_roc_20h;q158_rsv_20h;q158_sumd_20h;q158_sumn_20h;q158_sump_20h;rev_10h;rev_2h;rev_3h;reversal_5h;rsi_14h;rsi_7h;up_down_vol_ratio_20h;vwap_dev_20h;williams_r_14h
