factor_id,family,label,expected_direction,static_RankIC_mean,dynamic_RankIC_mean,RankIC_sign_consistent,static_RankICIR,dynamic_RankICIR,static_direction_adjusted_spread,dynamic_direction_adjusted_spread,static_coverage,dynamic_coverage,static_turnover,dynamic_turnover,direction_source
funding_rate_level_20h,funding_rate,ret_fwd_24h,negative,0.0159481745508106,0.0109149641720132,True,0.0900547247458874,0.0874157411273641,-0.005346779462974,2.4825136340951736e-05,0.7391534391534391,0.8774487810616147,0.0404516019086571,0.0365419845866755,candidate_csv
funding_rate_level_20h,funding_rate,ret_fwd_72h,negative,0.0216708173947588,0.0109149641720132,True,0.1209688592727405,0.0874157411273641,-0.01976323182709,2.4825136340951736e-05,0.7391534391534391,0.8774487810616147,0.0404516019086571,0.0365419845866755,candidate_csv
funding_rate_zscore_80h,funding_rate,ret_fwd_1h,negative,0.000130669567061,0.0032985605969244,True,0.000779017874679,0.0264376463953873,3.288749771600123e-05,6.2140327541980974e-06,0.6665532879818594,0.7737127991913648,0.1155611359126984,0.1140517594780174,candidate_csv
funding_rate_zscore_80h,funding_rate,ret_fwd_4h,negative,0.0009564249510753,0.0032985605969244,True,0.0057016982720184,0.0264376463953873,-0.0003439998530656,6.2140327541980974e-06,0.6665532879818594,0.7737127991913648,0.1155611359126984,0.1140517594780174,candidate_csv
funding_rate_zscore_80h,funding_rate,ret_fwd_24h,negative,-0.0019149808264624,0.0032985605969244,False,-0.01102094103297,0.0264376463953873,-0.0004377717676049,6.2140327541980974e-06,0.6665532879818594,0.7737127991913648,0.1155611359126984,0.1140517594780174,candidate_csv
funding_rate_zscore_80h,funding_rate,ret_fwd_72h,negative,-0.0134013716589818,0.0032985605969244,False,-0.0812825833564102,0.0264376463953873,0.0004405192790669,6.2140327541980974e-06,0.6665532879818594,0.7737127991913648,0.1155611359126984,0.1140517594780174,candidate_csv
funding_rate_change_24h,funding_rate,ret_fwd_1h,negative,-0.0002647712147673,0.0021455433956843,False,-0.0016548178820599,0.0185831093910083,7.117896315529519e-05,1.4538880825498692e-05,0.7382558578987151,0.8772457894862856,0.1253507424475166,0.120442324993428,candidate_csv
funding_rate_change_24h,funding_rate,ret_fwd_4h,negative,0.0001988363181044,0.0021455433956843,True,0.0012521114438632,0.0185831093910083,-0.0001635633775786,1.4538880825498692e-05,0.7382558578987151,0.8772457894862856,0.1253507424475166,0.120442324993428,candidate_csv
funding_rate_change_24h,funding_rate,ret_fwd_24h,negative,0.0054856295979161,0.0021455433956843,True,0.0320101887458426,0.0185831093910083,-0.0022101884000776,1.4538880825498692e-05,0.7382558578987151,0.8772457894862856,0.1253507424475166,0.120442324993428,candidate_csv
funding_rate_change_24h,funding_rate,ret_fwd_72h,negative,-0.0040229079675357,0.0021455433956843,False,-0.024543732503384,0.0185831093910083,-0.0018833897815054,1.4538880825498692e-05,0.7382558578987151,0.8772457894862856,0.1253507424475166,0.120442324993428,candidate_csv
